,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160211:1256,773.01,1391.418,23.72,4.99,3.05,0,,,,,,,,,,
20160211:1356,667.82,1202.076,20.96,5.47,3.01,0,,,,,,,,,,
20160211:1456,492.83,887.094,16.02,5.96,2.97,0,,,,,,,,,,
20160211:1556,263.49,474.282,9.34,6.44,2.94,0,,,,,,,,,,
20160211:1656,4.37,7.866,1.41,5.31,2.63,0,,,,,,,,,,
20160211:1756,0,0,0,4.18,2.33,0,,,,,,,,,,
20160211:1856,0,0,0,3.05,2.03,0,,,,,,,,,,
20160211:1956,0,0,0,2.47,2.15,0,,,,,,,,,,
20160211:2056,0,0,0,1.89,2.27,0,,,,,,,,,,
20160211:2156,0,0,0,1.31,2.39,0,,,,,,,,,,
20160211:2256,0,0,0,1.14,2.43,0,,,,,,,,,,
20160211:2356,0,0,0,0.96,2.48,0,,,,,,,,,,
20160212:0056,0,0,0,0.79,2.52,0,,,,,,,,,,
20160212:0156,0,0,0,1.35,2.81,0,,,,,,,,,,
20160212:0256,0,0,0,1.92,3.1,0,,,,,,,,,,
20160212:0356,0,0,0,2.48,3.39,0,,,,,,,,,,
20160212:0456,0,0,0,2.38,3.49,0,,,,,,,,,,
20160212:0556,0,0,0,2.28,3.59,0,,,,,,,,,,
20160212:0656,0,0,0,2.17,3.68,0,,,,,,,,,,
20160212:0756,79.85,143.73,3.34,2.47,4.33,0,,,,,,,,,,
20160212:0856,359.46,647.028,11.07,2.77,4.97,0,,,,,,,,,,
20160212:0956,576.54,1037.772,17.46,3.06,5.61,0,,,,,,,,,,
20160212:1056,323.86,582.948,22.02,3.75,5.79,0,,,,,,,,,,
20160212:1156,335.95,604.71,24.3,4.43,5.96,0,,,,,,,,,,
20160212:1256,765.91,1378.638,24.05,5.12,6.14,0,,,,,,,,,,
20160212:1356,619.23,1114.614,21.28,5.26,5.66,0,,,,,,,,,,
20160212:1456,166.35,299.43,16.32,5.41,5.18,0,,,,,,,,,,
20160212:1556,91.75,165.15,9.63,5.55,4.7,0,,,,,,,,,,
20160212:1656,0.73,1.314,1.68,5.02,4.12,0,,,,,,,,,,
20160212:1756,0,0,0,4.5,3.54,0,,,,,,,,,,
20160212:1856,0,0,0,3.97,2.95,0,,,,,,,,,,
20160212:1956,0,0,0,3.67,2.97,0,,,,,,,,,,
20160212:2056,0,0,0,3.37,2.99,0,,,,,,,,,,
20160212:2156,0,0,0,3.07,3.01,0,,,,,,,,,,
20160212:2256,0,0,0,2.86,3.13,0,,,,,,,,,,
20160212:2356,0,0,0,2.64,3.25,0,,,,,,,,,,
20160213:0056,0,0,0,2.43,3.37,0,,,,,,,,,,
20160213:0156,0,0,0,2.2,3.85,0,,,,,,,,,,
20160213:0256,0,0,0,1.97,4.34,0,,,,,,,,,,
20160213:0356,0,0,0,1.74,4.83,0,,,,,,,,,,
20160213:0456,0,0,0,1.72,5.49,0,,,,,,,,,,
