,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160612:0956,184.88,332.784,52.15,14.69,3.93,0,,,,,,,,,,
20160612:1056,193.2,347.76,58.42,15.03,4.01,0,,,,,,,,,,
20160612:1156,156.36,281.448,61.3,15.38,4.1,0,,,,,,,,,,
20160612:1256,266.95,480.51,59.74,15.72,4.18,0,,,,,,,,,,
20160612:1356,720.33,1296.594,54.34,15.69,4.43,0,,,,,,,,,,
20160612:1456,459.36,826.848,46.63,15.66,4.68,0,,,,,,,,,,
20160612:1556,526.26,947.268,37.8,15.63,4.92,0,,,,,,,,,,
20160612:1656,82.68,148.824,28.56,15.55,4.86,0,,,,,,,,,,
20160612:1756,90.38,162.684,19.38,15.48,4.8,0,,,,,,,,,,
20160612:1856,4.45,8.01,10.6,15.4,4.74,0,,,,,,,,,,
20160612:1956,1.1,1.98,2.56,14.83,4.28,0,,,,,,,,,,
20160612:2056,0,0,0,14.26,3.81,0,,,,,,,,,,
20160612:2156,0,0,0,13.68,3.34,0,,,,,,,,,,
20160612:2256,0,0,0,13.36,3.53,0,,,,,,,,,,
20160612:2356,0,0,0,13.03,3.71,0,,,,,,,,,,
20160613:0056,0,0,0,12.71,3.9,0,,,,,,,,,,
20160613:0156,0,0,0,12.4,3.81,0,,,,,,,,,,
20160613:0256,0,0,0,12.08,3.71,0,,,,,,,,,,
20160613:0356,0,0,0,11.77,3.61,0,,,,,,,,,,
20160613:0456,36.97,66.546,8.05,12.06,3.77,0,,,,,,,,,,
20160613:0556,54.39,97.902,16.63,12.36,3.94,0,,,,,,,,,,
20160613:0656,146.52,263.736,25.72,12.65,4.1,0,,,,,,,,,,
20160613:0756,119.61,215.298,34.99,13.16,4.11,0,,,,,,,,,,
20160613:0856,186.5,335.7,44.01,13.66,4.11,0,,,,,,,,,,
20160613:0956,394.46,710.028,52.17,14.17,4.12,0,,,,,,,,,,
20160613:1056,345.43,621.774,58.46,14.37,4.41,0,,,,,,,,,,
20160613:1156,275.35,495.63,61.36,14.56,4.7,0,,,,,,,,,,
20160613:1256,255.11,459.198,59.81,14.76,4.99,0,,,,,,,,,,
20160613:1356,303.46,546.228,54.42,15.33,5.14,0,,,,,,,,,,
20160613:1456,286.84,516.312,46.71,15.91,5.29,0,,,,,,,,,,
20160613:1556,134.98,242.964,37.87,16.48,5.43,0,,,,,,,,,,
20160613:1656,232.15,417.87,28.64,16.27,4.85,0,,,,,,,,,,
20160613:1756,135.09,243.162,19.46,16.07,4.26,0,,,,,,,,,,
20160613:1856,47.68,85.824,10.68,15.86,3.67,0,,,,,,,,,,
20160613:1956,11.26,20.268,2.63,15.08,3.3,0,,,,,,,,,,
20160613:2056,0,0,0,14.29,2.92,0,,,,,,,,,,
20160613:2156,0,0,0,13.5,2.55,0,,,,,,,,,,
20160613:2256,0,0,0,13.27,2.85,0,,,,,,,,,,
20160613:2356,0,0,0,13.04,3.15,0,,,,,,,,,,
20160614:0056,0,0,0,12.81,3.45,0,,,,,,,,,,
20160614:0156,0,0,0,12.61,3.56,0,,,,,,,,,,
20160614:0256,0,0,0,12.41,3.67,0,,,,,,,,,,
20160614:0356,0,0,0,12.21,3.78,0,,,,,,,,,,
20160614:0456,28.84,51.912,8.06,12.36,3.95,0,,,,,,,,,,
20160614:0556,106.96,192.528,16.64,12.5,4.13,0,,,,,,,,,,
20160614:0656,105.42,189.756,25.73,12.65,4.3,0,,,,,,,,,,
20160614:0756,180.28,324.504,34.99,12.89,4.41,0,,,,,,,,,,
20160614:0856,261.17,470.106,44.02,13.12,4.51,0,,,,,,,,,,
20160614:0956,347.34,625.212,52.19,13.36,4.62,0,,,,,,,,,,
20160614:1056,322.94,581.292,58.49,13.7,4.7,0,,,,,,,,,,
20160614:1156,391.26,704.268,61.41,14.05,4.78,0,,,,,,,,,,
20160614:1256,424.77,764.586,59.87,14.39,4.86,0,,,,,,,,,,
20160614:1356,405.74,730.332,54.49,14.61,5.11,0,,,,,,,,,,
20160614:1456,229.66,413.388,46.78,14.82,5.37,0,,,,,,,,,,
20160614:1556,319.75,575.55,37.95,15.04,5.63,0,,,,,,,,,,
20160614:1656,261.28,470.304,28.71,14.65,5.6,0,,,,,,,,,,
20160614:1756,97.73,175.914,19.53,14.27,5.58,0,,,,,,,,,,
20160614:1856,55.69,100.242,10.75,13.88,5.56,0,,,,,,,,,,
20160614:1956,12.87,23.166,2.7,13.19,4.98,0,,,,,,,,,,
20160614:2056,0,0,0,12.5,4.41,0,,,,,,,,,,
20160614:2156,0,0,0,11.8,3.83,0,,,,,,,,,,
20160614:2256,0,0,0,11.56,3.71,0,,,,,,,,,,
20160614:2356,0,0,0,11.32,3.58,0,,,,,,,,,,
20160615:0056,0,0,0,11.08,3.45,0,,,,,,,,,,
20160615:0156,0,0,0,10.82,3.39,0,,,,,,,,,,
20160615:0256,0,0,0,10.57,3.34,0,,,,,,,,,,
20160615:0356,0,0,0,10.31,3.28,0,,,,,,,,,,
20160615:0456,35.1,63.18,8.07,10.66,3.56,0,,,,,,,,,,
20160615:0556,84.88,152.784,16.65,11,3.84,0,,,,,,,,,,
20160615:0656,224.89,404.802,25.73,11.35,4.12,0,,,,,,,,,,
20160615:0756,398.44,717.192,35,12.05,3.87,0,,,,,,,,,,
20160615:0856,548.47,987.246,44.02,12.75,3.61,0,,,,,,,,,,
20160615:0956,659.64,1187.352,52.2,13.45,3.35,0,,,,,,,,,,
20160615:1056,486.55,875.79,58.52,13.89,3.43,0,,,,,,,,,,
20160615:1156,425.6,766.08,61.45,14.34,3.51,0,,,,,,,,,,
20160615:1256,294.96,530.928,59.93,14.78,3.59,0,,,,,,,,,,
20160615:1356,666.31,1199.358,54.55,14.63,3.58,0,,,,,,,,,,
20160615:1456,182.42,328.356,46.84,14.47,3.57,0,,,,,,,,,,
20160615:1556,36.52,65.736,38.01,14.32,3.56,0,,,,,,,,,,
20160615:1656,123.85,222.93,28.77,14.12,3.31,0,,,,,,,,,,
20160615:1756,138.91,250.038,19.59,13.93,3.06,0,,,,,,,,,,
20160615:1856,56.62,101.916,10.81,13.73,2.81,0,,,,,,,,,,
20160615:1956,9.15,16.47,2.77,13.23,2.37,0,,,,,,,,,,
20160615:2056,0,0,0,12.73,1.92,0,,,,,,,,,,
20160615:2156,0,0,0,12.23,1.48,0,,,,,,,,,,
20160615:2256,0,0,0,11.88,1.49,0,,,,,,,,,,
20160615:2356,0,0,0,11.52,1.49,0,,,,,,,,,,
20160616:0056,0,0,0,11.16,1.5,0,,,,,,,,,,
20160616:0156,0,0,0,10.86,1.14,0,,,,,,,,,,
20160616:0256,0,0,0,10.57,0.79,0,,,,,,,,,,
20160616:0356,0,0,0,10.27,0.43,0,,,,,,,,,,
20160616:0456,19.52,35.136,8.08,10.67,0.42,0,,,,,,,,,,
20160616:0556,101.08,181.944,16.65,11.07,0.42,0,,,,,,,,,,
20160616:0656,202.25,364.05,25.73,11.47,0.41,0,,,,,,,,,,
