,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160414:0956,324,583.2,40.02,10.2,1.42,0,,,,,,,,,,
20160414:1056,567.65,1021.77,45.27,10.77,1.95,0,,,,,,,,,,
20160414:1156,248.16,446.688,47.58,11.33,2.48,0,,,,,,,,,,
20160414:1256,270.66,487.188,46.42,11.9,3.01,0,,,,,,,,,,
20160414:1356,823.62,1482.516,42.07,12.13,3.14,0,,,,,,,,,,
20160414:1456,294.7,530.46,35.37,12.36,3.26,0,,,,,,,,,,
20160414:1556,254.83,458.694,27.18,12.58,3.39,0,,,,,,,,,,
20160414:1656,148.68,267.624,18.21,11.96,3.1,0,,,,,,,,,,
20160414:1756,38.6,69.48,8.96,11.34,2.8,0,,,,,,,,,,
20160414:1856,0,0,0,10.72,2.51,0,,,,,,,,,,
20160414:1956,0,0,0,9.69,2.32,0,,,,,,,,,,
20160414:2056,0,0,0,8.65,2.13,0,,,,,,,,,,
20160414:2156,0,0,0,7.61,1.94,0,,,,,,,,,,
20160414:2256,0,0,0,7.32,1.93,0,,,,,,,,,,
20160414:2356,0,0,0,7.03,1.91,0,,,,,,,,,,
20160415:0056,0,0,0,6.74,1.89,0,,,,,,,,,,
20160415:0156,0,0,0,6.59,1.84,0,,,,,,,,,,
20160415:0256,0,0,0,6.44,1.79,0,,,,,,,,,,
20160415:0356,0,0,0,6.3,1.74,0,,,,,,,,,,
20160415:0456,0,0,0,6.09,1.68,0,,,,,,,,,,
20160415:0556,38.81,69.858,6.15,5.88,1.63,0,,,,,,,,,,
20160415:0656,109.62,197.316,15.4,5.67,1.57,0,,,,,,,,,,
20160415:0756,64.99,116.982,24.53,6.41,1.59,0,,,,,,,,,,
20160415:0856,210.66,379.188,33.05,7.15,1.6,0,,,,,,,,,,
20160415:0956,203.12,365.616,40.37,7.89,1.61,0,,,,,,,,,,
20160415:1056,538.7,969.66,45.63,8.62,1.65,0,,,,,,,,,,
20160415:1156,252.9,455.22,47.94,9.35,1.69,0,,,,,,,,,,
20160415:1256,173.41,312.138,46.76,10.08,1.72,0,,,,,,,,,,
20160415:1356,184.58,332.244,42.38,10.11,1.93,0,,,,,,,,,,
20160415:1456,188.91,340.038,35.64,10.15,2.13,0,,,,,,,,,,
20160415:1556,126.33,227.394,27.44,10.18,2.33,0,,,,,,,,,,
20160415:1656,100.19,180.342,18.45,9.8,2.74,0,,,,,,,,,,
20160415:1756,41.7,75.06,9.2,9.42,3.14,0,,,,,,,,,,
20160415:1856,0,0,0,9.04,3.54,0,,,,,,,,,,
20160415:1956,0,0,0,8.13,3.83,0,,,,,,,,,,
20160415:2056,0,0,0,7.22,4.12,0,,,,,,,,,,
20160415:2156,0,0,0,6.3,4.41,0,,,,,,,,,,
20160415:2256,0,0,0,5.77,4.1,0,,,,,,,,,,
20160415:2356,0,0,0,5.24,3.79,0,,,,,,,,,,
20160416:0056,0,0,0,4.71,3.48,0,,,,,,,,,,
20160416:0156,0,0,0,4.36,3.1,0,,,,,,,,,,
20160416:0256,0,0,0,4.01,2.73,0,,,,,,,,,,
20160416:0356,0,0,0,3.67,2.36,0,,,,,,,,,,
20160416:0456,0,0,0,3.57,2.6,0,,,,,,,,,,
20160416:0556,38.51,69.318,6.47,3.47,2.84,0,,,,,,,,,,
20160416:0656,8.69,15.642,15.72,3.37,3.08,0,,,,,,,,,,
20160416:0756,190.59,343.062,24.85,3.76,3.72,0,,,,,,,,,,
20160416:0856,181.9,327.42,33.39,4.14,4.36,0,,,,,,,,,,
20160416:0956,371.39,668.502,40.71,4.53,5.01,0,,,,,,,,,,
20160416:1056,312.13,561.834,45.99,5.06,5.03,0,,,,,,,,,,
20160416:1156,602.21,1083.978,48.3,5.59,5.06,0,,,,,,,,,,
20160416:1256,247.12,444.816,47.1,6.12,5.09,0,,,,,,,,,,
20160416:1356,422.42,760.356,42.68,6.66,5.08,0,,,,,,,,,,
