,,,,,,,,,Total area (m^2),12000,,Avg,kW,,,
20160815:2156,0,0,0,15.49,3.24,0,,,,,,,,,,
20160815:2256,0,0,0,14.7,3.03,0,,,,,,,,,,
20160815:2356,0,0,0,13.91,2.83,0,,,,,,,,,,
20160816:0056,0,0,0,13.12,2.62,0,,,,,,,,,,
20160816:0156,0,0,0,12.48,2.53,0,,,,,,,,,,
20160816:0256,0,0,0,11.83,2.44,0,,,,,,,,,,
20160816:0356,0,0,0,11.19,2.34,0,,,,,,,,,,
20160816:0456,0,0,0,11.31,2.74,0,,,,,,,,,,
20160816:0556,58.35,105.03,8.7,11.44,3.14,0,,,,,,,,,,
20160816:0656,233.36,420.048,17.92,11.57,3.53,0,,,,,,,,,,
20160816:0756,490.1,882.18,27.13,13.56,3.72,0,,,,,,,,,,
20160816:0856,644.79,1160.622,35.87,15.55,3.91,0,,,,,,,,,,
